baseline,orbit_from,orbit_to,handover_time_s,lead_time_s,loss,n_runs,n_converged,t90_median_us,t90_p25_us,t90_p75_us,goodput_mean_bytes,goodput_ci95_bytes,peak_queue_median,ss_mean_bps,ss_stddev_bps
0,1,2,120,20,0,10,10,500119.0,500119.0,500119.0,19455083.0,0.0,761216.0,3060497.0,0.0
0,1,2,120,30,0,10,10,500119.0,500119.0,500119.0,19455083.0,0.0,761216.0,3060497.0,0.0
0,1,2,120,5,0,10,10,500119.0,500119.0,500119.0,19455083.0,0.0,761216.0,3060497.0,0.0
0,1,2,30,0,0,10,10,500510.0,500510.0,500510.0,20817072.0,0.0,431940.0,3013360.0,0.0
0,1,2,30,10,0,10,10,500510.0,500510.0,500510.0,20817072.0,0.0,431940.0,3013360.0,0.0
0,1,2,30,2,0,10,10,500510.0,500510.0,500510.0,20817072.0,0.0,431940.0,3013360.0,0.0
0,1,2,30,20,0,10,10,500510.0,500510.0,500510.0,20817072.0,0.0,431940.0,3013360.0,0.0
0,1,2,30,30,0,10,10,500510.0,500510.0,500510.0,20817072.0,0.0,431940.0,3013360.0,0.0
0,1,2,30,5,0,10,10,500510.0,500510.0,500510.0,20817072.0,0.0,431940.0,3013360.0,0.0
0,1,2,60,0,0,10,10,500626.0,500626.0,500626.0,20818350.0,0.0,431940.0,3008501.0,0.0
0,1,2,60,10,0,10,10,500626.0,500626.0,500626.0,20818350.0,0.0,431940.0,3008501.0,0.0
0,1,2,60,2,0,10,10,500626.0,500626.0,500626.0,20818350.0,0.0,431940.0,3008501.0,0.0
0,1,2,60,20,0,10,10,500626.0,500626.0,500626.0,20818350.0,0.0,431940.0,3008501.0,0.0
0,1,2,60,30,0,10,10,500626.0,500626.0,500626.0,20818350.0,0.0,431940.0,3008501.0,0.0
0,1,2,60,5,0,10,10,500626.0,500626.0,500626.0,20818350.0,0.0,431940.0,3008501.0,0.0
0,2,0,120,0,0,10,10,2504129.0,2504129.0,2504129.0,68352442.0,0.0,437760.0,10110420.0,0.0
0,2,0,120,10,0,10,10,2504129.0,2504129.0,2504129.0,68352442.0,0.0,437760.0,10110420.0,0.0
0,2,0,120,2,0,10,10,2504129.0,2504129.0,2504129.0,68352442.0,0.0,437760.0,10110420.0,0.0
0,2,0,120,20,0,10,10,2504129.0,2504129.0,2504129.0,68352442.0,0.0,437760.0,10110420.0,0.0
0,2,0,120,30,0,10,10,2504129.0,2504129.0,2504129.0,68352442.0,0.0,437760.0,10110420.0,0.0
0,2,0,120,5,0,10,10,2504129.0,2504129.0,2504129.0,68352442.0,0.0,437760.0,10110420.0,0.0
0,2,0,30,0,0,10,10,1503257.0,1503257.0,1503257.0,68742454.0,0.0,437760.0,10105730.0,0.0
0,2,0,30,10,0,10,10,1503257.0,1503257.0,1503257.0,68742454.0,0.0,437760.0,10105730.0,0.0
0,2,0,30,2,0,10,10,1503257.0,1503257.0,1503257.0,68742454.0,0.0,437760.0,10105730.0,0.0
0,2,0,30,20,0,10,10,1503257.0,1503257.0,1503257.0,68742454.0,0.0,437760.0,10105730.0,0.0
0,2,0,30,30,0,10,10,1503257.0,1503257.0,1503257.0,68742454.0,0.0,437760.0,10105730.0,0.0
0,2,0,30,5,0,10,10,1503257.0,1503257.0,1503257.0,68742454.0,0.0,437760.0,10105730.0,0.0
0,2,0,60,0,0,10,10,2503448.0,2503448.0,2503448.0,68197751.0,0.0,437760.0,10106667.0,0.0
0,2,0,60,10,0,10,10,2503448.0,2503448.0,2503448.0,68197751.0,0.0,437760.0,10106667.0,0.0
0,2,0,60,2,0,10,10,2503448.0,2503448.0,2503448.0,68197751.0,0.0,437760.0,10106667.0,0.0
0,2,0,60,20,0,10,10,2503448.0,2503448.0,2503448.0,68197751.0,0.0,437760.0,10106667.0,0.0
0,2,0,60,30,0,10,10,2503448.0,2503448.0,2503448.0,68197751.0,0.0,437760.0,10106667.0,0.0
0,2,0,60,5,0,10,10,2503448.0,2503448.0,2503448.0,68197751.0,0.0,437760.0,10106667.0,0.0
0,2,1,120,0,0,10,10,2503279.0,2503279.0,2503279.0,67842411.0,0.0,437760.0,10130397.0,0.0
0,2,1,120,10,0,10,10,2503279.0,2503279.0,2503279.0,67842411.0,0.0,437760.0,10130397.0,0.0
0,2,1,120,2,0,10,10,2503279.0,2503279.0,2503279.0,67842411.0,0.0,437760.0,10130397.0,0.0
0,2,1,120,20,0,10,10,2503279.0,2503279.0,2503279.0,67842411.0,0.0,437760.0,10130397.0,0.0
0,2,1,120,30,0,10,10,2503279.0,2503279.0,2503279.0,67842411.0,0.0,437760.0,10130397.0,0.0
0,2,1,120,5,0,10,10,2503279.0,2503279.0,2503279.0,67842411.0,0.0,437760.0,10130397.0,0.0
0,2,1,30,0,0,10,10,2503097.0,2503097.0,2503097.0,67675943.0,0.0,437760.0,10046750.0,0.0
0,2,1,30,10,0,10,10,2503097.0,2503097.0,2503097.0,67675943.0,0.0,437760.0,10046750.0,0.0
0,2,1,30,2,0,10,10,2503097.0,2503097.0,2503097.0,67675943.0,0.0,437760.0,10046750.0,0.0
0,2,1,30,20,0,10,10,2503097.0,2503097.0,2503097.0,67675943.0,0.0,437760.0,10046750.0,0.0
0,2,1,30,30,0,10,10,2503097.0,2503097.0,2503097.0,67675943.0,0.0,437760.0,10046750.0,0.0
0,2,1,30,5,0,10,10,2503097.0,2503097.0,2503097.0,67675943.0,0.0,437760.0,10046750.0,0.0
0,2,1,60,0,0,10,10,1502639.0,1502639.0,1502639.0,68159200.0,0.0,437760.0,9998300.0,0.0
0,2,1,60,10,0,10,10,1502639.0,1502639.0,1502639.0,68159200.0,0.0,437760.0,9998300.0,0.0
0,2,1,60,2,0,10,10,1502639.0,1502639.0,1502639.0,68159200.0,0.0,437760.0,9998300.0,0.0
0,2,1,60,20,0,10,10,1502639.0,1502639.0,1502639.0,68159200.0,0.0,437760.0,9998300.0,0.0
0,2,1,60,30,0,10,10,1502639.0,1502639.0,1502639.0,68159200.0,0.0,437760.0,9998300.0,0.0
0,2,1,60,5,0,10,10,1502639.0,1502639.0,1502639.0,68159200.0,0.0,437760.0,9998300.0,0.0
2,0,1,120,0,0,10,0,0.0,0.0,0.0,47751990.0,0.0,157752.0,7180816.0,0.0
2,0,1,120,10,0,10,0,0.0,0.0,0.0,47394655.0,0.0,156500.0,7124174.0,0.0
2,0,1,120,2,0,10,0,0.0,0.0,0.0,47486005.0,0.0,156500.0,7121738.0,0.0
