baseline,orbit_from,orbit_to,handover_time_s,lead_time_s,loss,seed,run_id,t90_us,goodput_bytes,peak_queue,converged
2,1,2,30,10,0,49310608,0,1500920,65083739,1317104,1
2,1,2,30,30,0,1146005448,0,0,3501703,41316,0
2,0,1,120,60,0,1652563013,0,0,524288000,764972,0
2,1,2,30,20,0,491995979,0,1500602,66270350,1317104,1
2,1,2,60,0,0,1461042543,0,1500926,66458334,1317104,1
2,1,2,60,2,0,479112937,0,1500178,69297438,1317104,1
2,1,2,60,5,0,1260573448,0,15504218,63789506,1317104,1
2,1,2,60,10,0,1867302554,0,1500597,64847867,1317104,1
2,1,2,60,60,0,13938521,0,0,3504143,41316,0
2,1,2,60,20,0,679282378,0,1500753,64433346,1317104,1
2,1,2,60,30,0,1948728483,0,1500929,64304214,1317104,1
2,1,2,120,0,0,1131247330,0,8503423,64277752,1317104,1
2,1,2,120,2,0,767303988,0,1500944,64873030,1317104,1
2,1,2,120,5,0,457031004,0,1500958,63384798,1317104,1
2,1,2,120,10,0,1281810600,0,1501215,64249030,1317104,1
2,1,2,120,20,0,854316681,0,1500843,64695372,1317104,1
2,1,2,120,30,0,656439677,0,1500585,66096866,1317104,1
2,1,2,120,60,0,1605947756,0,1501022,66158451,1317104,1
3,0,2,30,5,0,1392239675,0,5640859,4131761,26411155,1
3,0,2,30,2,0,2456273,0,0,2581627,30669307,0
3,0,2,30,0,0,693847829,0,0,3812153,34237967,0
3,0,2,30,30,0,480468219,0,0,962282,11268,0
3,0,2,30,20,0,83651970,0,0,1504939,29811760,0
3,0,2,30,10,0,2098545541,0,0,2786334,30147488,0
3,0,2,60,0,0,1558990517,0,0,3305743,29936198,0
3,0,2,60,2,0,1320763135,0,0,1824055,29674092,0
3,0,2,60,10,0,248786714,0,0,1627454,27243807,0
3,0,2,60,20,0,1034535593,0,0,2560407,32921655,0
3,0,2,60,60,0,367878761,0,0,964701,11268,0
3,0,2,60,5,0,1028439863,0,0,827874,56993293,0
3,0,2,60,30,0,338258951,0,0,3060328,30519001,0
3,0,2,120,0,0,2087313121,0,0,524288000,764972,0
3,0,2,120,2,0,297265480,0,0,524288000,764972,0
3,0,2,120,5,0,540137296,0,0,524288000,764972,0
3,0,2,120,10,0,551437149,0,0,524288000,764972,0
3,0,2,120,20,0,2041322270,0,0,524288000,764972,0
3,0,2,120,30,0,709214891,0,0,524288000,764972,0
3,0,1,30,0,0,1817363615,0,6500450,192226631,764972,1
3,0,1,30,2,0,909666337,0,7533181,186043722,1297072,1
3,0,1,30,10,0,1338811290,0,8537598,185827470,1469903,1
3,0,1,30,5,0,863937247,0,7545705,192848860,1317104,1
3,0,1,30,30,0,1603828849,0,0,3055855,10377,0
3,0,1,30,20,0,1713658874,0,7519196,181941353,1308395,1
3,0,1,60,0,0,1881625505,0,6501379,151831882,764972,1
3,0,1,60,2,0,1939118223,0,8511461,164061612,1308395,1
3,0,1,60,5,0,519709079,0,8529573,181203783,1324726,1
3,0,1,60,10,0,1064746525,0,7545977,191215089,1277040,1
3,0,2,120,60,0,1138409539,0,0,2589778,33973242,0
3,0,1,60,60,0,1452066459,0,0,3049796,10377,0
3,0,1,60,20,0,965067727,0,7537905,186335432,1325923,1
3,0,1,60,30,0,274989148,0,7520247,186894341,1323364,1
3,0,1,120,0,0,90341465,0,0,524288000,764972,0
3,0,1,120,2,0,988335251,0,0,524288000,764972,0
3,0,1,120,5,0,945826486,0,0,524288000,764972,0
3,0,1,120,10,0,30884438,0,0,524288000,764972,0
3,0,1,120,20,0,304912982,0,0,524288000,764972,0
3,0,1,120,30,0,252860896,0,0,524288000,764972,0
3,1,2,30,0,0,289482182,0,1500451,68932276,1317104,1
3,1,2,30,2,0,134917627,0,9695218,62106911,1317104,1
3,0,1,120,60,0,983297492,0,8528691,149225434,1360924,1
3,1,2,30,5,0,1419179580,0,23136654,51659930,6228700,1
3,1,2,30,30,0,1196050747,0,0,954394,16637,0
3,1,2,30,20,0,1022222125,0,7691917,63058276,1317104,1
3,1,2,30,10,0,304330003,0,14706173,54437772,2128400,1
3,1,2,60,0,0,2084839399,0,1500885,64804364,1317104,1
3,1,2,60,5,0,568275055,0,11939527,58588203,1422272,1
3,1,2,60,2,0,920140090,0,6923243,60798306,1317104,1
3,1,2,60,10,0,2030106617,0,13658307,55102443,1732768,1
3,1,2,60,60,0,1748309234,0,0,952795,16637,0
