baseline,orbit_from,orbit_to,handover_time_s,lead_time_s,loss,n_runs,n_converged,t90_median_us,t90_p25_us,t90_p75_us,goodput_mean_bytes,goodput_ci95_bytes,peak_queue_median
2,0,1,60,2,0,1,1,6500771.0,6500771.0,6500771.0,151851370.0,0.0,764972.0
2,0,1,60,5,0,1,1,7500967.0,7500967.0,7500967.0,151870858.0,0.0,1318356.0
2,0,1,60,10,0,1,1,500009.0,500009.0,500009.0,151909834.0,0.0,764972.0
2,0,1,60,20,0,1,1,500145.0,500145.0,500145.0,164417463.0,0.0,764972.0
2,0,1,60,30,0,1,1,7504648.0,7504648.0,7504648.0,152064519.0,0.0,1269528.0
2,0,1,60,60,0,1,0,0.0,0.0,0.0,8566500.0,0.0,28796.0
2,0,1,120,0,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
2,0,1,120,2,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
2,0,1,120,5,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
2,0,1,120,10,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
2,0,1,120,20,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
2,0,1,120,30,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
2,0,1,120,60,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
2,0,2,30,0,0,1,0,0.0,0.0,0.0,5368586.0,0.0,33120391.0
2,0,2,30,2,0,1,0,0.0,0.0,0.0,5368586.0,0.0,33120391.0
2,0,2,30,5,0,1,0,0.0,0.0,0.0,8977021.0,0.0,35719636.0
2,0,2,30,10,0,1,0,0.0,0.0,0.0,7234045.0,0.0,34901938.0
2,0,2,30,20,0,1,0,0.0,0.0,0.0,7233311.0,0.0,36134856.0
2,0,2,30,30,0,1,0,0.0,0.0,0.0,2601414.0,0.0,30048.0
2,0,2,60,0,0,1,0,0.0,0.0,0.0,6258082.0,0.0,36638988.0
2,0,2,60,2,0,1,0,0.0,0.0,0.0,7414264.0,0.0,40795464.0
2,0,2,60,5,0,1,0,0.0,0.0,0.0,6567754.0,0.0,40636774.0
2,0,2,60,10,0,1,0,0.0,0.0,0.0,9091314.0,0.0,36683279.0
2,0,2,60,20,0,1,0,0.0,0.0,0.0,5660989.0,0.0,29017506.0
2,0,2,60,30,0,1,0,0.0,0.0,0.0,7477570.0,0.0,36502876.0
2,0,2,60,60,0,1,0,0.0,0.0,0.0,2600198.0,0.0,30048.0
2,0,2,120,0,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
2,0,2,120,2,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
2,0,2,120,5,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
2,0,2,120,10,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
