baseline,orbit_from,orbit_to,handover_time_s,lead_time_s,loss,n_runs,n_converged,t90_median_us,t90_p25_us,t90_p75_us,goodput_mean_bytes,goodput_ci95_bytes,peak_queue_median,ss_mean_bps,ss_stddev_bps
0,1,0,120,5,0,1,1,2500287.0,2500287.0,2500287.0,78772747.0,0.0,1317104.0,4406564.0,4406564.0
0,1,0,120,10,0,1,1,2500287.0,2500287.0,2500287.0,78772747.0,0.0,1317104.0,4406564.0,4406564.0
0,1,0,120,20,0,1,1,2500287.0,2500287.0,2500287.0,78772747.0,0.0,1317104.0,4406564.0,4406564.0
0,1,0,120,30,0,1,1,2500287.0,2500287.0,2500287.0,78772747.0,0.0,1317104.0,4406564.0,4406564.0
0,1,0,120,60,0,1,1,2500287.0,2500287.0,2500287.0,78772747.0,0.0,1317104.0,4406564.0,4406564.0
0,1,2,30,0,0,1,1,1501206.0,1501206.0,1501206.0,62748234.0,0.0,1317104.0,10163802.0,2750770.0
0,1,2,30,2,0,1,1,1501206.0,1501206.0,1501206.0,62748234.0,0.0,1317104.0,10163802.0,2750770.0
0,1,2,30,5,0,1,1,1501206.0,1501206.0,1501206.0,62748234.0,0.0,1317104.0,10163802.0,2750770.0
0,1,2,30,10,0,1,1,1501206.0,1501206.0,1501206.0,62748234.0,0.0,1317104.0,10163802.0,2750770.0
0,1,2,30,20,0,1,1,1501206.0,1501206.0,1501206.0,62748234.0,0.0,1317104.0,10163802.0,2750770.0
0,1,2,30,30,0,1,1,1501206.0,1501206.0,1501206.0,62748234.0,0.0,1317104.0,10163802.0,2750770.0
0,1,2,60,0,0,1,1,1500926.0,1500926.0,1500926.0,66458334.0,0.0,1317104.0,10033306.0,80929.0
0,1,2,60,2,0,1,1,1500926.0,1500926.0,1500926.0,66458334.0,0.0,1317104.0,10033306.0,80929.0
0,1,2,60,5,0,1,1,1500926.0,1500926.0,1500926.0,66458334.0,0.0,1317104.0,10033306.0,80929.0
0,1,2,60,10,0,1,1,1500926.0,1500926.0,1500926.0,66458334.0,0.0,1317104.0,10033306.0,80929.0
0,1,2,60,20,0,1,1,1500926.0,1500926.0,1500926.0,66458334.0,0.0,1317104.0,10033306.0,80929.0
0,1,2,60,30,0,1,1,1500926.0,1500926.0,1500926.0,66458334.0,0.0,1317104.0,10033306.0,80929.0
0,1,2,60,60,0,1,1,1500926.0,1500926.0,1500926.0,66458334.0,0.0,1317104.0,10033306.0,80929.0
0,1,2,120,0,0,1,1,8503423.0,8503423.0,8503423.0,64277752.0,0.0,1317104.0,10037641.0,78570.0
0,1,2,120,2,0,1,1,8503423.0,8503423.0,8503423.0,64277752.0,0.0,1317104.0,10037641.0,78570.0
0,1,2,120,5,0,1,1,8503423.0,8503423.0,8503423.0,64277752.0,0.0,1317104.0,10037641.0,78570.0
0,1,2,120,10,0,1,1,8503423.0,8503423.0,8503423.0,64277752.0,0.0,1317104.0,10037641.0,78570.0
0,1,2,120,20,0,1,1,8503423.0,8503423.0,8503423.0,64277752.0,0.0,1317104.0,10037641.0,78570.0
0,1,2,120,30,0,1,1,8503423.0,8503423.0,8503423.0,64277752.0,0.0,1317104.0,10037641.0,78570.0
0,1,2,120,60,0,1,1,8503423.0,8503423.0,8503423.0,64277752.0,0.0,1317104.0,10037641.0,78570.0
0,2,0,30,0,0,1,1,1500190.0,1500190.0,1500190.0,342743587.0,0.0,1638720.0,50344850.0,63143.0
0,2,0,30,2,0,1,1,1500190.0,1500190.0,1500190.0,342743587.0,0.0,1638720.0,50344850.0,63143.0
0,2,0,30,5,0,1,1,1500190.0,1500190.0,1500190.0,342743587.0,0.0,1638720.0,50344850.0,63143.0
0,2,0,30,10,0,1,1,1500190.0,1500190.0,1500190.0,342743587.0,0.0,1638720.0,50344850.0,63143.0
0,2,0,30,20,0,1,1,1500190.0,1500190.0,1500190.0,342743587.0,0.0,1638720.0,50344850.0,63143.0
0,2,0,30,30,0,1,1,1500190.0,1500190.0,1500190.0,342743587.0,0.0,1638720.0,50344850.0,63143.0
0,2,0,60,0,0,1,1,2500662.0,2500662.0,2500662.0,341444470.0,0.0,1638720.0,50349854.0,74319.0
