F1,0,1,5298160,29719456,0.6728
F1,0,2,9450800,42437360,0.7122
F1,0,3,9942256,38950752,0.7396
F1,0,4,8907320,35564936,0.7357
F1,0,5,9143432,40007656,0.7172
F1,0,6,10594464,42493792,0.7347
F1,0,7,10358504,38545936,0.7506
F1,0,8,11730632,37162432,0.7871
F1,0,9,11854352,37049952,0.7902
F1,0,10,11843184,37061112,0.7899
F1,0,11,11831936,37072368,0.7897
F1,0,12,9289968,39614464,0.7223
F1,0,13,11584480,37308656,0.7832
F1,0,14,11246984,34755440,0.7929
F1,0,15,12236696,39569176,0.7823
F1,0,16,12596800,36307584,0.8097
F1,0,17,12056896,36847488,0.7956
F1,0,18,11460728,37443632,0.7799
F1,0,19,11292016,37601104,0.7755
F1,0,20,10088568,38815808,0.7435
F1,0,21,10954664,37949792,0.7665
F1,0,22,11831856,37072448,0.7897
F1,0,23,11528224,37376144,0.7816
F1,0,24,10785864,36251288,0.7733
F1,0,25,10954456,39805432,0.7558
F1,0,26,8300296,39310800,0.7021
F1,0,27,12945264,37252192,0.8101
F1,0,28,12585552,36318832,0.8094
F1,0,29,12045648,36858656,0.7953
F1,0,30,11426976,37466128,0.7790
F1,0,31,2170416,5859968,0.8257
F1,0,32,3249888,6241504,0.9096
F1,0,33,2923800,6849064,0.8611
F1,0,34,3024880,6736512,0.8737
F1,0,35,3013688,6759096,0.8719
F1,0,36,2620208,7152776,0.8230
F1,0,37,2462632,7310224,0.8025
F1,0,38,2507656,7265312,0.8084
F1,0,39,2338912,7422704,0.7866
F1,0,40,2237760,7535240,0.7729
F1,0,41,1979224,7793960,0.7386
F1,0,42,1731776,8041408,0.7058
F1,0,43,967168,4881096,0.6907
F1,0,44,22496,3092816,0.5073
F1,0,45,0,18534136,0.5000
F1,0,46,0,3149064,0.5000
F1,0,47,2928568,7389112,0.8425
F1,0,48,2733936,14833744,0.6783
F1,0,49,1405480,6736816,0.6999
F1,0,50,22496,11160,0.8981
F1,0,51,4002520,17127296,0.7216
F1,0,52,1517712,8255088,0.6778
F1,0,53,1675288,8097576,0.6984
F1,0,54,1596168,8176240,0.6881
F1,0,55,1798640,7973864,0.7146
F1,0,56,1596088,8176240,0.6880
F1,0,57,1753632,8007608,0.7090
F1,0,58,1686296,8086256,0.6998
F1,0,59,1674896,8097592,0.6984
F1,0,60,1742424,8030016,0.7072
F1,0,61,1584944,8187576,0.6866
F1,0,62,1641152,8120072,0.6942
F1,0,63,393400,1282080,0.7804
F1,0,64,303520,3542736,0.5850
F1,0,65,11160,4014888,0.5028
F1,0,66,292360,8693648,0.5336
F1,0,67,191128,7208840,0.5265
F1,0,68,0,9728064,0.5000
F1,0,69,1584840,21862968,0.5721
F1,0,70,3479512,15519560,0.7135
F1,0,71,888336,4881176,0.6762
F1,0,72,337440,4892352,0.5686
F1,0,73,2698112,15619976,0.6677
F1,0,74,1000448,8761264,0.6127
F1,0,75,1146256,8626328,0.6306
F1,0,76,1191328,8581168,0.6362
F1,0,77,1191232,8581256,0.6362
F1,0,78,1213736,8558672,0.6390
F1,0,79,1281216,8491104,0.6475
F1,0,80,1236232,8525040,0.6420
F1,0,81,1191232,8581168,0.6362
F1,0,82,1179888,8592480,0.6348
F1,0,83,1157872,8614888,0.6320
F1,0,84,865528,6073216,0.6397
F1,0,85,89888,1270848,0.5704
F1,0,86,472136,3576512,0.6297
F1,0,87,494632,5499472,0.5892
F1,0,88,0,10616848,0.5000
F1,0,89,449640,1855528,0.7289
F1,0,90,0,27677128,0.5000
F1,5,1,5329112,29438208,0.6753
F1,5,2,8292400,43854904,0.6826
F1,5,3,9402304,39490520,0.7253
F1,5,4,8896232,35385104,0.7365
F1,5,5,10099184,41581976,0.7293
F1,5,6,9019792,41728520,0.7065
F1,5,7,9526120,39378280,0.7285
F1,5,8,12146960,36746256,0.7980
F1,5,9,11112024,37792288,0.7706
F1,5,10,10898256,38005952,0.7650
F1,5,11,10909656,37994784,0.7653
F1,5,12,9672184,39232064,0.7324
F1,5,13,10707208,38197168,0.7599
F1,5,14,11573232,37319904,0.7829
F1,5,15,11258288,37646096,0.7745
F1,5,16,10032336,35036136,0.7646
F1,5,17,13710208,39029600,0.8127
F1,5,18,12034400,36870064,0.7950
F1,5,19,11786864,37106112,0.7885
F1,5,20,11831936,37072416,0.7897
F1,5,21,11831936,37072336,0.7897
F1,5,22,9841040,39063344,0.7369
F1,5,23,11606976,37297376,0.7837
F1,5,24,11618224,37286080,0.7840
F1,5,25,10156064,34350400,0.7719
F1,5,26,12956432,40333440,0.7912
F1,5,27,12338096,36566288,0.8029
F1,5,28,11888176,37016128,0.7911
F1,5,29,11831936,37072368,0.7897
F1,5,30,11865600,37038704,0.7905
F1,5,31,2260408,5859968,0.8358
F1,5,32,3632176,6140440,0.9382
F1,5,33,3317408,6455384,0.9065
F1,5,34,3362168,6410408,0.9113
F1,5,35,3204816,6556536,0.8945
F1,5,36,2901112,6871576,0.8583
F1,5,37,2665088,7107816,0.8287
F1,5,38,2743792,7029096,0.8387
F1,5,39,2395312,7377704,0.7937
F1,5,40,2316576,7445272,0.7837
F1,5,41,2125272,7647752,0.7580
F1,5,42,1225768,4723600,0.7431
F1,5,43,517320,2890456,0.6734
F1,5,44,2465936,17465824,0.6384
F1,5,45,415992,1732008,0.7271
F1,5,46,44992,8052640,0.5056
F1,5,47,3922128,15126104,0.7430
F1,5,48,1945280,7827784,0.7341
F1,5,49,134976,584800,0.7191
F1,5,50,22296,9402184,0.5024
F1,5,51,6610816,12562104,0.9121
F1,5,52,2158760,7602744,0.7628
F1,5,53,2091248,7681416,0.7535
F1,5,54,2068664,7703824,0.7505
F1,5,55,2091160,7681416,0.7535
F1,5,56,2113744,7658920,0.7565
F1,5,57,2068664,7692664,0.7508
F1,5,58,2091160,7681328,0.7535
F1,5,59,2068656,7703912,0.7505
F1,5,60,2023648,7748904,0.7445
F1,5,61,1967464,7805112,0.7370
F1,5,62,1079280,3340288,0.7926
F1,5,63,539640,3700040,0.6428
F1,5,64,44992,618640,0.5723
F1,5,65,0,7895000,0.5000
F1,5,66,2945160,25202416,0.6153
F1,5,67,0,0,1.0000
F1,5,68,0,12258792,0.5000
F1,5,69,5861424,14664960,0.8446
F1,5,70,921856,5184776,0.6724
F1,5,71,348600,1911984,0.6765
F1,5,72,3630840,11089008,0.7957
F1,5,73,1855248,14136376,0.6290
F1,5,74,1675088,8097648,0.6984
F1,5,75,1641344,8131248,0.6940
F1,5,76,1641160,8120088,0.6942
F1,5,77,1641056,8131248,0.6939
F1,5,78,1652408,8120000,0.6954
F1,5,79,1652312,8120088,0.6954
F1,5,80,1731136,8041352,0.7057
F1,5,81,1956112,7805144,0.7358
F1,5,82,1742400,8030104,0.7072
F1,5,83,1708640,8063840,0.7028
F1,5,84,730736,2811624,0.7435
F1,5,85,224768,2777880,0.5804
F1,5,86,0,0,1.0000
F1,5,87,0,8850992,0.5000
F1,5,88,5237352,25573800,0.6966
F1,5,89,202368,2867864,0.5702
F1,5,90,2549648,16554552,0.6504
F1,10,1,5486424,29183896,0.6816
F1,10,2,8651944,43591776,0.6910
F1,10,3,9267384,37252328,0.7343
F1,10,4,10853200,40423696,0.7504
F1,10,5,10909552,37994784,0.7653
F1,10,6,10617104,38287232,0.7575
F1,10,7,10201056,38703288,0.7465
F1,10,8,11977992,36914976,0.7936
F1,10,9,11978160,36926224,0.7935
F1,10,10,11921888,36982376,0.7920
F1,10,11,11820608,37083696,0.7894
F1,10,12,9211312,39693152,0.7202
F1,10,13,12619288,36285088,0.8103
F1,10,14,12990480,35902656,0.8199
F1,10,15,12529312,36375072,0.8079
F1,10,16,12383008,36521296,0.8041
F1,10,17,12349344,36554960,0.8032
F1,10,18,11078400,37826064,0.7697
F1,10,19,11449568,37454800,0.7796
F1,10,20,12270576,36622528,0.8012
F1,10,21,11989328,36914976,0.7938
F1,10,22,11111968,37792152,0.7706
F1,10,23,10763320,38140648,0.7614
F1,10,24,8514000,40390608,0.7018
F1,10,25,9604832,39288304,0.7307
F1,10,26,8513848,35587680,0.7263
F1,10,27,13732656,39974048,0.8073
F1,10,28,12461744,36442640,0.8062
F1,10,29,12225616,36678688,0.8000
F1,10,30,12158120,36746256,0.7982
F1,10,31,2338952,5781232,0.8477
F1,10,32,3621056,6151584,0.9372
F1,10,33,3351160,6421616,0.9102
F1,10,34,3384584,6387824,0.9137
F1,10,35,3294800,6477856,0.9041
F1,10,36,2991184,6770336,0.8697
F1,10,37,2799976,6972792,0.8458
F1,10,38,2766504,7006600,0.8416
F1,10,39,2732576,7040264,0.8373
F1,10,40,2541448,7231560,0.8128
F1,10,41,2159016,7602736,0.7628
F1,10,42,1956640,7816432,0.7356
F1,10,43,607224,2204328,0.7560
F1,10,44,236128,730944,0.7925
F1,10,45,44736,1743344,0.5256
F1,10,46,0,0,1.0000
F1,10,47,1866552,39069216,0.5477
F1,10,48,4130488,7973992,0.9084
F1,10,49,89984,1529640,0.5586
F1,10,50,1798880,7546432,0.7256
F1,10,51,3878560,14462664,0.7502
F1,10,52,2012536,7760192,0.7430
F1,10,53,1989928,7782648,0.7400
F1,10,54,1956184,7805144,0.7358
F1,10,55,1967520,7805144,0.7370
F1,10,56,1967432,7805056,0.7370
F1,10,57,1967432,7805056,0.7370
F1,10,58,1944936,7827640,0.7340
F1,10,59,1967432,7422712,0.7477
F1,10,60,1956272,0,0.5000
F1,10,61,719432,7017872,0.6014
F1,10,62,787008,0,0.5000
F1,10,63,0,11032704,0.5000
