Starting test number 345, bbr_sat_fairness_f1_sweep
scenario,lead_time_s,t_s,flow1_rate_bps,flow2_rate_bps,jains_index
F1,5,48,1146736,1270544,0.9974
F1,5,49,1113152,1472928,0.9810
F1,5,50,1101904,1405520,0.9855
F1,5,51,1124240,1293120,0.9951
F1,5,52,1124400,1450432,0.9842
F1,5,53,1079408,1439264,0.9800
F1,5,54,1135568,1281792,0.9964
F1,5,55,1124320,1383024,0.9895
F1,5,56,1101904,1484176,0.9786
F1,5,57,1124400,1293120,0.9952
F1,5,58,1124320,1326784,0.9932
F1,5,59,1146816,1484176,0.9838
F1,5,60,1045664,1383024,0.9811
F1,5,61,1191808,1236880,0.9997
F1,5,62,1101904,1484176,0.9786
F1,5,63,1079408,1416768,0.9821
F1,5,64,1169312,1259296,0.9986
F1,5,65,1090656,1484256,0.9772
F1,5,66,1090576,1416768,0.9834
F1,5,67,1158144,1259296,0.9983
F1,5,68,1113072,1472928,0.9810
F1,5,69,1090656,1416768,0.9834
F1,5,70,1124320,1293120,0.9951
F1,5,71,1124400,1450432,0.9842
F1,5,72,1090656,1428016,0.9824
F1,5,73,1135568,1281792,0.9964
F1,5,74,1124320,1394272,0.9886
F1,5,75,1101904,1472928,0.9797
F1,5,76,1124400,1293120,0.9952
F1,5,77,1124320,1338032,0.9925
F1,5,78,1135648,1484176,0.9826
F1,5,79,1056832,1371776,0.9835
F1,5,80,1180640,1248128,0.9992
F1,5,81,1101824,1484176,0.9786
F1,5,82,1079408,1416768,0.9821
F1,5,83,1180560,1248048,0.9992
F1,5,84,1090656,1484256,0.9772
F1,5,85,1079328,1428016,0.9810
F1,5,86,1169344,1248048,0.9989
F1,5,87,1113056,1473008,0.9810
F1,5,88,1090656,1416688,0.9834
F1,5,89,1113072,1304368,0.9938
F1,5,90,1124400,1450368,0.9842
F1,10,1,3946624,4025312,0.9999
F1,10,2,5019168,4760360,0.9993
F1,10,3,4927408,4848656,0.9999
F1,10,4,5071768,4700704,0.9986
F1,10,5,5038152,4734360,0.9990
F1,10,6,4880776,4678232,0.9996
F1,10,7,4487104,4262144,0.9993
F1,10,8,4948096,4981792,1.0000
F1,10,9,5015664,4756912,0.9993
F1,10,10,4948208,4824472,0.9998
F1,10,11,4835704,4734456,0.9999
F1,10,12,4464488,4442136,1.0000
F1,10,13,5026904,4745712,0.9992
F1,10,14,4914448,4858200,1.0000
F1,10,15,5094320,4678168,0.9982
F1,10,16,5038144,4734424,0.9990
F1,10,17,4903088,4869336,1.0000
F1,10,18,4475800,4329536,0.9997
F1,10,19,5049408,4723176,0.9989
F1,10,20,4869440,4903224,1.0000
F1,10,21,5105568,4666888,0.9980
F1,10,22,5083072,4678216,0.9983
F1,10,23,4509592,3902216,0.9948
F1,10,24,4959440,4509584,0.9977
F1,10,25,5173056,4903072,0.9993
F1,10,26,5094416,4678216,0.9982
F1,10,27,5071920,4700736,0.9986
F1,10,28,5026840,4745728,0.9992
F1,10,29,4397216,4239656,0.9997
F1,10,30,4993160,4779448,0.9995
F1,10,31,921976,888392,0.9997
F1,10,32,1146896,1124320,0.9999
F1,10,33,1090576,1068080,0.9999
F1,10,34,1000672,1000672,1.0000
F1,10,35,1090576,989584,0.9976
F1,10,36,1056832,910688,0.9945
F1,10,37,820704,1023248,0.9881
F1,10,38,1248128,1079488,0.9948
F1,10,39,1169392,1000752,0.9940
F1,10,40,1000672,1124400,0.9966
F1,10,41,1203136,1079408,0.9971
F1,10,42,1259296,1000752,0.9871
F1,10,43,989504,1124400,0.9959
F1,10,44,1124400,1101904,0.9999
F1,10,45,1315536,1012000,0.9833
F1,10,46,1023168,1090656,0.9990
F1,10,47,1034496,1158144,0.9968
F1,10,48,1326784,1023248,0.9836
F1,10,49,1101904,1023168,0.9986
F1,10,50,944512,1214384,0.9846
F1,10,51,1349280,1034496,0.9829
F1,10,52,1090736,1023168,0.9990
F1,10,53,978256,1191888,0.9904
F1,10,54,1304288,1056992,0.9892
F1,10,55,1113152,1011920,0.9977
F1,10,56,1000752,1158144,0.9947
F1,10,57,1259296,1079488,0.9941
F1,10,58,1158144,1000752,0.9947
F1,10,59,1000752,1124400,0.9966
F1,10,60,1214304,1079408,0.9966
F1,10,61,1248128,1000752,0.9880
F1,10,62,989424,1124400,0.9959
F1,10,63,1135648,1101904,0.9998
F1,10,64,1304368,1012000,0.9843
F1,10,65,1023168,1090656,0.9990
F1,10,66,1045664,1146896,0.9979
F1,10,67,1326784,1034496,0.9849
F1,10,68,1090736,1023168,0.9990
F1,10,69,955680,1203136,0.9870
F1,10,70,1349280,1034496,0.9829
F1,10,71,1090656,1023168,0.9990
F1,10,72,978256,1191888,0.9904
F1,10,73,1304288,1056992,0.9892
F1,10,74,1113152,1011920,0.9977
F1,10,75,1000752,1169392,0.9940
F1,10,76,1259296,1079488,0.9941
