baseline,orbit_from,orbit_to,handover_time_s,lead_time_s,loss,seed,run_id,t90_us,goodput_bytes,peak_queue,converged,ss_mean_bps,ss_stddev_bps
0,0,2,30,0,0,107420369,1,12551146,2255763,12845212,1,22,131
0,0,2,30,0,0,958682846,4,12551146,2255763,12845212,1,22,131
0,0,2,30,0,0,599310825,5,12551146,2255763,12845212,1,22,131
0,0,2,30,0,0,1051802512,3,12551146,2255763,12845212,1,22,131
0,0,2,30,0,0,478163327,0,12551146,2255763,12845212,1,22,131
0,0,2,30,0,0,1181241943,2,12551146,2255763,12845212,1,22,131
0,0,2,30,0,0,373399426,7,12551146,2255763,12845212,1,22,131
0,0,2,30,0,0,440213415,6,12551146,2255763,12845212,1,22,131
0,0,2,30,0,0,1812140441,8,12551146,2255763,12845212,1,22,131
0,0,2,30,0,0,136505587,9,12551146,2255763,12845212,1,22,131
0,0,2,30,2,0,127978094,0,12551146,2255763,12845212,1,22,131
0,0,2,30,2,0,402418010,1,12551146,2255763,12845212,1,22,131
0,0,2,30,2,0,939042955,2,12551146,2255763,12845212,1,22,131
0,0,2,30,2,0,999270936,3,12551146,2255763,12845212,1,22,131
0,0,2,30,2,0,113971123,4,12551146,2255763,12845212,1,22,131
0,0,2,30,2,0,1801823908,6,12551146,2255763,12845212,1,22,131
0,0,2,30,2,0,854001193,5,12551146,2255763,12845212,1,22,131
0,0,2,30,2,0,946785248,7,12551146,2255763,12845212,1,22,131
0,0,2,30,2,0,1929338154,8,12551146,2255763,12845212,1,22,131
0,0,2,30,2,0,1194819984,9,12551146,2255763,12845212,1,22,131
0,0,2,30,5,0,27911967,0,12551146,2255763,12845212,1,22,131
0,0,2,30,5,0,685731524,1,12551146,2255763,12845212,1,22,131
0,0,2,30,5,0,1815115025,2,12551146,2255763,12845212,1,22,131
0,0,2,30,5,0,1461364854,3,12551146,2255763,12845212,1,22,131
0,0,2,30,5,0,1193448329,4,12551146,2255763,12845212,1,22,131
0,0,2,30,5,0,667779376,5,12551146,2255763,12845212,1,22,131
0,0,2,30,5,0,924765563,6,12551146,2255763,12845212,1,22,131
0,0,2,30,5,0,438989805,8,12551146,2255763,12845212,1,22,131
0,0,2,30,5,0,1445662585,7,12551146,2255763,12845212,1,22,131
0,0,2,30,5,0,398340369,9,12551146,2255763,12845212,1,22,131
0,0,2,30,10,0,1631775357,0,12551146,2255763,12845212,1,22,131
0,0,2,30,10,0,415393687,1,12551146,2255763,12845212,1,22,131
0,0,2,30,10,0,1541804686,2,12551146,2255763,12845212,1,22,131
0,0,2,30,10,0,1477278577,3,12551146,2255763,12845212,1,22,131
0,0,2,30,10,0,1136108454,4,12551146,2255763,12845212,1,22,131
0,0,2,30,10,0,186618211,5,12551146,2255763,12845212,1,22,131
0,0,2,30,10,0,1973214822,6,12551146,2255763,12845212,1,22,131
0,0,2,30,10,0,536124280,7,12551146,2255763,12845212,1,22,131
0,0,2,30,10,0,338444264,9,12551146,2255763,12845212,1,22,131
0,0,2,30,10,0,1625792787,8,12551146,2255763,12845212,1,22,131
0,0,2,30,20,0,1259191105,0,12551146,2255763,12845212,1,22,131
0,0,2,30,20,0,1553210608,1,12551146,2255763,12845212,1,22,131
0,0,2,30,20,0,825873196,2,12551146,2255763,12845212,1,22,131
0,0,2,30,20,0,298737106,3,12551146,2255763,12845212,1,22,131
